url,prix_tnd,nom,marque,ram_go,stockage_go,cpu_serie,os_platform,has_5g,has_wifi
https://www.mytek.tn/pc-de-bureau-all-in-one-hp-proone-240-g10-ultra-7-155u-16g-512go-ssd-noir.html,3589.0,PC de Bureau All In One HP ProOne 240 G10 Ultra 7 155U 16G 512Go SSD - Noir,HP,16.0,512.0,0.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-hp-proone-240-g10-i3-n300-16go-256go-ssd-noir.html,3619.0,PC de Bureau All In One HP ProOne 240 G10 i3 N300 16Go 256Go SSD - Noir,HP,16.0,256.0,3.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-hp-proone-240-g10-ultra-7-155u-16go-512go-ssd-noir.html,3619.0,PC de Bureau All In One HP ProOne 240 G10 Ultra 7 155U 16Go 512Go SSD - Noir,HP,16.0,512.0,0.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-hp-ai-24-cr2013nk-ultra-7-255u-16go-512go-ssd-blanc.html,4019.0,PC de Bureau All In One HP AI 24-cr2013nk Ultra 7 255U 16Go 512Go SSD - Blanc,HP,16.0,512.0,0.0,Windows 11 Famille,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-hp-ai-24-cr2020nk-ultra-7-255u-16go-1to-ssd-noir.html,4259.0,PC de Bureau All In One HP AI 24-cr2020nk Ultra 7 255U 16Go 1To SSD - Noir,HP,16.0,1024.0,0.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-lenovo-a100-intel-n100-8g-256g-ssd.html,1429.0,PC de Bureau ALL IN ONE LENOVO A100 Intel N100 8G 256G SSD,LENOVO,8.0,256.0,0.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-lenovo-a100-intel-n100-8g-256go-ssd-gris.html,1469.0,PC de Bureau ALL IN ONE LENOVO A100 Intel N100 8G 256Go SSD - Gris,LENOVO,8.0,256.0,0.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-lenovo-a100-intel-n100-8go-256g-ssd.html,1469.0,PC de Bureau ALL IN ONE LENOVO A100 Intel N100 8Go 256G SSD,LENOVO,8.0,256.0,0.0,Windows 11 Pro,0,1
https://www.mytek.tn/pc-de-bureau-lenovo-thinkcentre-neo-50q-gen-5-i3-13e-gen-8go-512go-ssd.html,1559.0,PC de Bureau LENOVO ThinkCentre néo 50q Gen 5 i3 13è Gén 8Go 512Go SSD,LENOVO,8.0,512.0,3.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-lenovo-thinkcentre-neo-50t-gen-5-i3-13e-gen-8g-512g-ssd.html,1699.0,PC de Bureau LENOVO ThinkCentre néo 50T Gen 5 i3 14e Gén 8G 512G SSD,LENOVO,8.0,512.0,3.0,FreeDos,0,1
