nom,url,prix_tnd,marque,ram_go,stockage_go,taille_ecran,os_platform,has_bluetooth
"Téléphone portable PHILIPS FUN101 2"" 1500 mAh - Deep Bleu",https://www.mytek.tn/telephone-portable-philips-e2130-deep-bleu.html,56.9,PHILIPS,0.00390625,181.0,2.0,Autres,0
"Téléphone portable PHILIPS FUN101 2"" 1500 mAh - Noir",https://www.mytek.tn/telephone-portable-philips-fun101-2-1500-mah-noir.html,56.9,PHILIPS,0.00390625,181.0,2.0,Autres,0
Téléphone Portable PHILIPS XENIUM 210 - Noir,https://www.mytek.tn/telephone-portable-philips-xenium-210-noir.html,89.9,PHILIPS,0.0078125,16.0,2.4,Autres,0
"Téléphone Portable PHILIPS E2830 3.0"" 2000 mAh - Gris",https://www.mytek.tn/telephone-portable-philips-e2830-3-0-2000-mah-gris.html,99.0,PHILIPS,0.0078125,32.0,3.0,Autres,0
Téléphone Portable SMARTEC V2 - Noir,https://www.mytek.tn/telephone-portable-smartec-v2-noir.html,39.0,SMARTEC,0.03125,181.0,2.0,Inconnu,1
Téléphone Portable SMARTEC V2 - Bleu,https://www.mytek.tn/telephone-portable-smartec-v2-bleu.html,39.0,SMARTEC,0.03125,181.0,2.0,Inconnu,1
"Téléphone Portable Smartec V1 Double SIM 2"" - Bleu",https://www.mytek.tn/telephone-portable-smartec-v1-double-sim-2-bleu.html,39.0,SMARTEC,0.03125,32.0,2.0,Autres,1
Téléphone Portable SMARTEC V1 Écran 2.0” 800mAh - Gris,https://www.mytek.tn/telephone-portable-smartec-v1-ecran-2-0-800mah-gris.html,39.0,SMARTEC,0.03125,181.0,2.0,Autres,1
"Téléphone Portable SMARTEC V1 Écran 2"" LCD 800 mAh - Noir",https://www.mytek.tn/telephone-portable-smartec-v1-ecran-2-lcd-800-mah-noir.html,39.0,SMARTEC,0.03125,181.0,2.0,Autres,1
Téléphone Portable SMARTEC V1 Double SIM 800mAh - bleu foncé,https://www.mytek.tn/telephone-portable-smartec-v1-double-sim-800mah-bleu-fonce.html,39.0,SMARTEC,0.03125,181.0,2.0,Autres,1
