nom,url,prix_tnd,marque,taille_ecran,resolution_affichage,technologie_dalle,hdr,smart_tv,taux_rafraichissement,os_platform,has_4g,has_wifi6,has_wifi,has_bluetooth,has_ethernet
TV TCL 85'' Smart P8K QLED UHD 4K,https://www.mytek.tn/tv-tcl-85-smart-p8k-qled-uhd-4k.html,7199.0,TCL,85.0,4K,QLED,True,True,144.0,Google TV,0,0,1,1,1
"TV TCL 85"" Smart TV QLED MINI LED TV-TCL-85C6K- Noir",https://www.mytek.tn/tv-tcl-85-smart-tv-qled-mini-led-tv-tcl-85c6k-noir.html,7499.0,TCL,85.0,4K,QLED,True,True,88.8,Google TV,0,0,1,1,1
"TV TCL C6K 4K UHD Smart TV Mini LED 98"" - Noir",https://www.mytek.tn/tv-tcl-c6k-4k-uhd-smart-tv-mini-led-98-noir.html,10799.0,TCL,98.0,4K,Mini-LED,True,True,88.8,Google TV,0,1,1,0,1
TV TELEFUNKEN 32'' C7 + Récepteur Intégré,https://www.mytek.tn/tv-telefunken-32-c7-recepteur-integre.html,399.0,TELEFUNKEN,32.0,Full HD,LED,False,False,60.0,Autre,0,0,0,0,0
TV TELEFUNKEN 32'' Smart Google TV E3F HD + Récepteur Intégré,https://www.mytek.tn/tv-telefunken-32-smart-google-tv-e3f-hd-recepteur-integre.html,559.0,TELEFUNKEN,32.0,Full HD,LED,False,True,60.0,Google TV,1,0,1,1,1
TV TELEFUNKEN 40'' C7 FHD + Récepteur intégré,https://www.mytek.tn/tv-telefunken-40-c7-fhd-recepteur-integre.html,569.0,TELEFUNKEN,40.0,Full HD,QLED,False,False,60.0,Autre,0,0,0,0,0
TV TELEFUNKEN 42'' W3 Full HD,https://www.mytek.tn/tv-telefunken-42-w3-full-hd.html,649.0,TELEFUNKEN,42.0,Full HD,QLED,False,False,60.0,Autre,0,0,0,0,0
TV TELEFUNKEN 43'' C7 FHD + Récepteur intégré,https://www.mytek.tn/tv-telefunken-43-c7-fhd-recepteur-integre.html,679.0,TELEFUNKEN,43.0,Full HD,QLED,False,False,60.0,Autre,0,0,0,0,0
"TV TELEFUNKEN 40"" Smart Google TV E3F Full HD + Récepteur Intégré",https://www.mytek.tn/tv-telefunken-40-smart-google-tv-e3f-full-hd-recepteur-integre.html,699.0,TELEFUNKEN,40.0,Full HD,QLED,True,True,60.0,Google TV,1,0,1,1,1
TV TELEFUNKEN 43'' Smart Google TV QLED E3FQ + Récepteur Intégré,https://www.mytek.tn/tv-telefunken-43-smart-google-tv-qled-e3fq-recepteur-integre.html,879.0,TELEFUNKEN,43.0,Full HD,QLED,True,True,60.0,Google TV,0,0,1,1,1
"TV TELEFUNKEN 50"" QLED W3HQ Google TV Full HD - Noir",https://www.mytek.tn/tv-telefunken-50-qled-w3hq-google-tv-full-hd-noir.html,1049.0,TELEFUNKEN,50.0,Full HD,QLED,True,True,84.8,Google TV,0,0,1,1,1
"Téléviseur 50"" TELEFUNKEN Led N1 SmartTv  Tizen OS  4k UHD",https://www.mytek.tn/televiseur-50-telefunken-led-n1-tizen-os-4k-uhd-smarttv.html,1069.0,TELEFUNKEN,50.0,4K,QLED,True,True,84.8,Tizen,0,0,1,0,1
TV TELEFUNKEN 50'' Smart Google TV G3FN 4K Ultra HD Avec Récepteur Intégré,https://www.mytek.tn/tv-telefunken-50-smart-google-tv-g3fn-4k-ultra-hd-avec-recepteur-integre.html,1219.0,TELEFUNKEN,50.0,4K,QLED,True,True,84.8,Google TV,0,0,1,1,1
TV TELEFUNKEN QLED 50'' Smart Google Tv G4FN 4K + Récepteur Intégré,https://www.mytek.tn/tv-telefunken-qled-50-smart-google-tv-g4fn-4k-recepteur-integre.html,1379.0,TELEFUNKEN,50.0,4K,QLED,True,True,84.8,Google TV,0,0,1,1,1
Tv TELEFUNKEN 55” G3FN 4K UHD Smart Google TV + Récepteur Intégré,https://www.mytek.tn/tv-telefunken-55-g3fn-4k-uhd-smart-google-tv-recepteur-integre.html,1389.0,TELEFUNKEN,55.0,4K,Mini-LED,True,True,84.8,Google TV,0,0,1,1,1
"Téléviseur TELEFUNKEN 55"" Mini Led X6f Google Tv 4k Matte Screen",https://www.mytek.tn/televiseur-telefunken-55-mini-led-x6f-google-tv-4k-matte-screen.html,1699.0,TELEFUNKEN,55.0,4K,Mini-LED,True,True,84.8,Google TV,0,0,1,0,1
TV TELEFUNKEN G3FN 4K UHD Smart TV 65'' Avec Récepteur Intégré,https://www.mytek.tn/tv-telefunken-g3fn-4k-uhd-smart-tv-65-avec-recepteur-integre.html,1999.0,TELEFUNKEN,65.0,4K,QLED,True,True,60.0,Google TV,0,0,1,1,1
"TV Telefunken G7EP Mini LED UHD 4K Google TV 55"" + Récepteur intégré",https://www.mytek.tn/tv-telefunken-g7ep-mini-led-uhd-4k-google-tv-55-recepteur-integre.html,2349.0,TELEFUNKEN,55.0,4K,Mini-LED,True,True,84.8,Google TV,0,0,1,0,1
"Téléviseur TELEFUNKEN 65"" Mini LED X6F Google TV 4K UHD Matte Screen",https://www.mytek.tn/televiseur-telefunken-65-mini-led-x6f-google-tv-4k-uhd-matte-screen.html,2549.0,TELEFUNKEN,65.0,4K,Mini-LED,True,True,74.8,Google TV,0,0,1,0,1
TV TELEFUNKEN 65'' Mini LED Smart Google Tv G7EP 4K + Récepteur intégré,https://www.mytek.tn/tv-telefunken-65-smart-google-tv-g7ep-4k-recepteur-integre.html,3099.0,TELEFUNKEN,65.0,4K,Mini-LED,True,True,74.8,Inconnu,0,0,0,0,0
TV TELEFUNKEN 75'' Smart Google Tv G4E QLED 4K + Récepteur intégré,https://www.mytek.tn/tv-telefunken-75-smart-google-tv-g4e-qled-4k-recepteur-integre.html,3229.0,TELEFUNKEN,75.0,4K,QLED,False,True,103.6,Android TV,0,0,1,1,1
