nom,url,prix_tnd,marque,ram_go,stockage_go,taille_ecran,os_platform,has_bluetooth,semaine,gamme_prix,cluster_id,cluster_direct
Téléphone Portable SMARTEC V2 - Bleu,https://www.mytek.tn/telephone-portable-smartec-v2-bleu.html,39.0,SMARTEC,0.03125,32.0,2.0,Inconnu,1,4,Économique,SMARTEC::Économique::c1,4
"Téléphone Portable Smartec V1 Double SIM 2"" - Bleu",https://www.mytek.tn/telephone-portable-smartec-v1-double-sim-2-bleu.html,39.0,SMARTEC,0.03125,32.0,2.0,Autres,1,4,Économique,SMARTEC::Économique::c0,1
Téléphone Portable SMARTEC V1 Écran 2.0” 800mAh - Gris,https://www.mytek.tn/telephone-portable-smartec-v1-ecran-2-0-800mah-gris.html,39.0,SMARTEC,0.03125,32.0,2.0,Autres,1,4,Économique,SMARTEC::Économique::c0,1
"Téléphone Portable SMARTEC V1 Écran 2"" LCD 800 mAh - Noir",https://www.mytek.tn/telephone-portable-smartec-v1-ecran-2-lcd-800-mah-noir.html,39.0,SMARTEC,0.03125,32.0,2.0,Autres,1,4,Économique,SMARTEC::Économique::c0,1
Téléphone Portable SMARTEC V1 Double SIM 800mAh - bleu foncé,https://www.mytek.tn/telephone-portable-smartec-v1-double-sim-800mah-bleu-fonce.html,39.0,SMARTEC,0.03125,32.0,2.0,Autres,1,4,Économique,SMARTEC::Économique::c0,1
Téléphone Portable SMARTEC POWER X1 1400 mAh - Noir,https://www.mytek.tn/telephone-portable-smartec-power-x1-1400-mah-noir.html,59.0,SMARTEC,0.03125,32.0,1.4,Autres,1,4,Économique,SMARTEC::Économique::c0,1
Téléphone Portable SMARTEC POWER X1 Double SIM 1400 mAh - bleu,https://www.mytek.tn/telephone-portable-smartec-power-x1-double-sim-1400-mah-bleu.html,59.0,SMARTEC,0.03125,32.0,1.4,Autres,1,4,Économique,SMARTEC::Économique::c0,1
Téléphone Portable SMARTEC F1 FLIP - Noir,https://www.mytek.tn/telephone-portable-smartec-f1-flip-noir.html,85.0,SMARTEC,51.2109375,16.0,2.4,Inconnu,0,4,Milieu de gamme,SMARTEC::Milieu de gamme::c1,4
Téléphone Portable SMARTEC F1 FLIP - Bleu,https://www.mytek.tn/telephone-portable-smartec-f1-flip-bleu.html,85.0,SMARTEC,51.2109375,16.0,2.4,Autres,0,4,Milieu de gamme,SMARTEC::Milieu de gamme::c0,2
Téléphone Portable SMARTEC F1 FLIP - Gris,https://www.mytek.tn/telephone-portable-smartec-f1-flip-gris.html,85.0,SMARTEC,51.2109375,16.0,2.4,Autres,0,4,Milieu de gamme,SMARTEC::Milieu de gamme::c0,2
Téléphone Portable SMARTEC F1 FLIP - Rouge,https://www.mytek.tn/telephone-portable-smartec-f1-flip-rouge.html,85.0,SMARTEC,51.2109375,16.0,2.4,Inconnu,0,4,Milieu de gamme,SMARTEC::Milieu de gamme::c1,4
Téléphone Portable Clever C4 - Gold,https://www.mytek.tn/telephone-portable-clever-c4-gold.html,32.9,CLEVER,16.0,32.0,1.77,Sans Système,1,1,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever C4 - Rouge,https://www.mytek.tn/telephone-portable-clever-c4-rouge.html,32.9,CLEVER,16.0,32.0,1.77,Sans Système,1,1,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever C4 -Blanc,https://www.mytek.tn/telephone-portable-clever-c4-blanc.html,32.9,CLEVER,16.0,32.0,1.77,Sans Système,1,1,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever C4 - Purple,https://www.mytek.tn/telephone-portable-clever-c4-purple.html,32.9,CLEVER,16.0,32.0,1.77,Sans Système,1,1,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever C4 - Vert,https://www.mytek.tn/telephone-portable-clever-c4-vert.html,32.9,CLEVER,16.0,32.0,1.77,Sans Système,1,1,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever C4 - Bleu,https://www.mytek.tn/telephone-portable-clever-c4-bleu.html,32.9,CLEVER,16.0,32.0,1.77,Sans Système,1,1,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever C4 - Gold,https://www.mytek.tn/telephone-portable-clever-c4-gold.html,32.9,CLEVER,16.0,16.0,1.77,Sans Système,1,2,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever C4 -Blanc,https://www.mytek.tn/telephone-portable-clever-c4-blanc.html,32.9,CLEVER,16.0,16.0,1.77,Sans Système,1,2,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever C4 - Purple,https://www.mytek.tn/telephone-portable-clever-c4-purple.html,32.9,CLEVER,16.0,16.0,1.77,Sans Système,1,2,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever C4 - Vert,https://www.mytek.tn/telephone-portable-clever-c4-vert.html,32.9,CLEVER,16.0,16.0,1.77,Sans Système,1,2,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever C4 - Bleu,https://www.mytek.tn/telephone-portable-clever-c4-bleu.html,32.9,CLEVER,16.0,16.0,1.77,Sans Système,1,2,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever F10 - Noir,https://www.mytek.tn/telephone-portable-clever-f10-noir.html,89.0,CLEVER,51.21875,16.0,2.4,Sans Système,0,2,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever F10 - Rose,https://www.mytek.tn/telephone-portable-clever-f10-rose.html,89.0,CLEVER,51.21875,16.0,2.4,Sans Système,0,2,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever F10 - Vert,https://www.mytek.tn/telephone-portable-clever-f10-vert.html,89.0,CLEVER,51.21875,16.0,2.4,Sans Système,0,2,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever F10 - Violet,https://www.mytek.tn/telephone-portable-clever-f10-violet.html,89.0,CLEVER,51.21875,16.0,2.4,Sans Système,0,2,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever F10 - Blanc,https://www.mytek.tn/telephone-portable-clever-f10-blanc.html,89.0,CLEVER,51.21875,16.0,2.4,Sans Système,0,2,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever F10 - Gold,https://www.mytek.tn/telephone-portable-clever-f10-gold.html,89.0,CLEVER,51.21875,16.0,2.4,Sans Système,0,2,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever F10 - Bleu,https://www.mytek.tn/telephone-portable-clever-f10-bleu.html,89.0,CLEVER,256.0,16.0,2.4,Sans Système,0,2,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever C4 - Gold,https://www.mytek.tn/telephone-portable-clever-c4-gold.html,32.9,CLEVER,16.0,19.2,1.77,Sans Système,1,3,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever C4 -Blanc,https://www.mytek.tn/telephone-portable-clever-c4-blanc.html,32.9,CLEVER,16.0,19.2,1.77,Sans Système,1,3,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever C4 - Purple,https://www.mytek.tn/telephone-portable-clever-c4-purple.html,32.9,CLEVER,16.0,19.2,1.77,Sans Système,1,3,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever C4 - Vert,https://www.mytek.tn/telephone-portable-clever-c4-vert.html,32.9,CLEVER,16.0,19.2,1.77,Sans Système,1,3,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever C4 - Bleu,https://www.mytek.tn/telephone-portable-clever-c4-bleu.html,32.9,CLEVER,16.0,19.2,1.77,Sans Système,1,3,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever F10 - Noir,https://www.mytek.tn/telephone-portable-clever-f10-noir.html,89.0,CLEVER,51.215625,16.0,2.4,Sans Système,0,3,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever F10 - Rose,https://www.mytek.tn/telephone-portable-clever-f10-rose.html,89.0,CLEVER,51.215625,16.0,2.4,Sans Système,0,3,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever F10 - Vert,https://www.mytek.tn/telephone-portable-clever-f10-vert.html,89.0,CLEVER,51.215625,16.0,2.4,Sans Système,0,3,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever F10 - Violet,https://www.mytek.tn/telephone-portable-clever-f10-violet.html,89.0,CLEVER,51.215625,16.0,2.4,Sans Système,0,3,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever F10 - Blanc,https://www.mytek.tn/telephone-portable-clever-f10-blanc.html,89.0,CLEVER,51.215625,16.0,2.4,Sans Système,0,3,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever F10 - Gold,https://www.mytek.tn/telephone-portable-clever-f10-gold.html,89.0,CLEVER,51.215625,16.0,2.4,Sans Système,0,3,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever F10 - Bleu,https://www.mytek.tn/telephone-portable-clever-f10-bleu.html,89.0,CLEVER,256.0,16.0,2.4,Sans Système,0,3,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever C4 - Gold,https://www.mytek.tn/telephone-portable-clever-c4-gold.html,32.9,CLEVER,16.0,19.2,1.77,Sans Système,1,4,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever C4 -Blanc,https://www.mytek.tn/telephone-portable-clever-c4-blanc.html,32.9,CLEVER,16.0,19.2,1.77,Sans Système,1,4,Économique,CLEVER::Économique::c1,0
