categorie,marque,gamme,cluster,semaine_t,semaine_t1,n_produits_t,n_produits_t1,delta_prix_reel_pct,delta_estime_hedonic_pct,delta_estime_ridge_pct,delta_estime_rf_pct,ecart_residuel_pct,classification,cause_principale,accord_modeles,fiabilite_limitee,composition_stable,bootstrap_possible,ecart_residuel_ic_bas,ecart_residuel_ic_haut,ecart_residuel_p_value,ecart_residuel_significatif
pc_portables,DELL,Économique,c1,1,2,11,10,-2.4,-2.21,-0.76,-0.95,-0.19,Effectif du cluster modifié (11 → 10 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-10.85,8.45,0.982,False
pc_portables,DELL,Économique,c1,2,3,10,9,1.13,-1.27,-0.15,-0.25,2.4,Effectif du cluster modifié (10 → 9 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-8.62,11.07,0.68,False
pc_portables,DELL,Économique,c1,3,4,9,9,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-11.27,8.61,0.972,False
pc_portables,DELL,Économique,c2,1,2,7,7,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-2.53,2.32,0.964,False
pc_portables,DELL,Économique,c2,2,3,7,7,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-2.68,2.44,0.966,False
pc_portables,DELL,Économique,c2,3,4,7,7,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-2.61,2.32,0.954,False
pc_portables,GIGABYTE,Milieu de gamme,c0,1,2,7,7,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-13.96,10.08,0.952,False
pc_portables,GIGABYTE,Milieu de gamme,c0,2,3,7,7,2.24,0.0,0.0,0.0,2.24,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-11.32,14.51,0.73,False
pc_portables,GIGABYTE,Milieu de gamme,c0,3,4,7,7,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-15.23,12.66,0.976,False
pc_portables,GIGABYTE,Premium,c0,1,2,7,7,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-58.43,38.39,0.966,False
