categorie,marque,gamme,cluster,semaine,moyenne_geometrique,moyenne_estimee_ridge,moyenne_estimee_hedonic,moyenne_estimee_rf,erreur_ridge_pct,erreur_hedonic_pct,erreur_rf_pct,n_produits,source_ridge,source_hedonic,source_rf
pc_portables,ASUS,Économique,c1,4,1830.3,2415.77,2241.03,2079.48,31.99,22.44,13.61,12,n1,n1,categorie
pc_portables,ASUS,Économique,c2,1,2034.66,2560.4,2566.2,2193.38,25.84,26.12,7.8,5,n1,n1,n1
pc_portables,ASUS,Économique,c2,2,2034.66,2560.4,2566.2,2193.38,25.84,26.12,7.8,5,n1,n1,n1
pc_portables,ASUS,Économique,c2,3,2034.66,2560.4,2566.2,2193.38,25.84,26.12,7.8,5,n1,n1,n1
pc_portables,ASUS,Économique,c2,4,2034.66,2560.4,2566.2,2193.38,25.84,26.12,7.8,5,n1,n1,n1
pc_portables,ASUS,Économique,c3,1,1922.07,2283.37,2225.86,1939.11,18.8,15.81,0.89,11,n1,n1,n1
pc_portables,ASUS,Économique,c3,2,1922.07,2283.37,2225.86,1939.11,18.8,15.81,0.89,11,n1,n1,n1
pc_portables,ASUS,Économique,c3,3,1901.62,2256.15,2193.58,1913.93,18.64,15.35,0.65,10,n1,n1,n1
pc_portables,ASUS,Économique,c3,4,1901.62,2256.15,2193.58,1913.93,18.64,15.35,0.65,10,n1,n1,n1
pc_portables,CHUWI,Gamme unique,c0,1,1703.19,2155.98,2162.06,2502.92,26.58,26.94,46.95,6,n1,n1,n1
pc_portables,CHUWI,Gamme unique,c0,2,1703.19,2155.98,2162.06,2502.92,26.58,26.94,46.95,6,n1,n1,n1
pc_portables,CHUWI,Gamme unique,c0,3,1703.19,2155.98,2162.06,2502.92,26.58,26.94,46.95,6,n1,n1,n1
pc_portables,CHUWI,Gamme unique,c0,4,1703.19,2155.98,2162.06,2502.92,26.58,26.94,46.95,6,n1,n1,n1
pc_portables,DELL,Milieu de gamme,c0,1,2359.02,2236.76,2205.05,2469.71,-5.18,-6.53,4.69,6,n1,n1,categorie
pc_portables,DELL,Milieu de gamme,c0,2,2154.9,2236.76,2205.05,2469.71,3.8,2.33,14.61,6,n1,n1,categorie
pc_portables,DELL,Milieu de gamme,c0,3,2142.31,2225.77,2188.44,2404.71,3.9,2.15,12.25,5,n1,n1,categorie
pc_portables,DELL,Milieu de gamme,c0,4,2142.31,2225.77,2188.44,2404.71,3.9,2.15,12.25,5,n1,n1,categorie
pc_portables,DELL,Milieu de gamme,c1,1,2366.14,2388.0,2387.5,2377.86,0.92,0.9,0.5,20,n2,n2,n2
pc_portables,DELL,Milieu de gamme,c1,2,2352.24,2375.81,2374.41,2377.15,1.0,0.94,1.06,19,n2,n2,n2
pc_portables,DELL,Milieu de gamme,c1,3,2376.95,2378.53,2378.03,2378.22,0.07,0.05,0.05,18,n2,n2,n2
pc_portables,DELL,Milieu de gamme,c1,4,2376.95,2378.53,2378.03,2378.22,0.07,0.05,0.05,18,n2,n2,n2
pc_portables,DELL,Premium,c0,1,3829.68,3788.9,2927.81,3812.14,-1.06,-23.55,-0.46,16,n2,n1,n1
pc_portables,DELL,Premium,c0,2,3829.68,3788.9,2927.81,3812.14,-1.06,-23.55,-0.46,16,n2,n1,n1
pc_portables,DELL,Premium,c0,3,3829.68,3788.9,2927.81,3812.14,-1.06,-23.55,-0.46,16,n2,n1,n1
pc_portables,DELL,Premium,c0,4,3829.68,3788.9,2927.81,3812.14,-1.06,-23.55,-0.46,16,n2,n1,n1
pc_portables,DELL,Premium,c1,1,4034.49,3891.73,3984.68,3860.7,-3.54,-1.23,-4.31,8,n1,n1,n1
pc_portables,DELL,Premium,c1,2,4034.49,3891.73,3984.68,3860.7,-3.54,-1.23,-4.31,8,n1,n1,n1
pc_portables,DELL,Premium,c1,3,4034.49,3891.73,3984.68,3860.7,-3.54,-1.23,-4.31,8,n1,n1,n1
pc_portables,DELL,Premium,c1,4,4034.49,3891.73,3984.68,3860.7,-3.54,-1.23,-4.31,8,n1,n1,n1
pc_portables,DELL,Économique,c0,1,1836.51,2322.52,2309.57,1957.51,26.46,25.76,6.59,7,n1,n1,n1
pc_portables,DELL,Économique,c0,2,1808.91,2322.52,2309.57,1957.51,28.39,27.68,8.21,7,n1,n1,n1
pc_portables,DELL,Économique,c0,3,1808.91,2322.52,2309.57,1957.51,28.39,27.68,8.21,7,n1,n1,n1
pc_portables,DELL,Économique,c0,4,1808.91,2322.52,2309.57,1957.51,28.39,27.68,8.21,7,n1,n1,n1
pc_portables,DELL,Économique,c1,1,1744.65,1712.72,1902.09,1723.36,-1.83,9.02,-1.22,11,n2,n1,n2
pc_portables,DELL,Économique,c1,2,1702.74,1699.67,1860.02,1706.98,-0.18,9.24,0.25,10,n2,n1,n2
pc_portables,DELL,Économique,c1,3,1721.98,1697.09,1836.47,1702.74,-1.45,6.65,-1.12,9,n2,n1,n2
