categorie,approche,cluster,marque,gamme_prix,semaine,n_produits,prix_geometrique_tnd
pc_portables,N2_marque_gamme,ASUS::Premium::c0,ASUS,Premium,3,10,4473.65
pc_portables,N2_marque_gamme,ASUS::Premium::c0,ASUS,Premium,4,10,4473.65
pc_portables,N2_marque_gamme,ASUS::Premium::c1,ASUS,Premium,1,7,5430.3
pc_portables,N2_marque_gamme,ASUS::Premium::c1,ASUS,Premium,2,8,5333.0
pc_portables,N2_marque_gamme,ASUS::Premium::c1,ASUS,Premium,3,8,5222.09
pc_portables,N2_marque_gamme,ASUS::Premium::c1,ASUS,Premium,4,8,5222.09
pc_portables,N2_marque_gamme,ASUS::Premium::c2,ASUS,Premium,1,5,3904.6
pc_portables,N2_marque_gamme,ASUS::Premium::c2,ASUS,Premium,2,2,3956.98
pc_portables,N2_marque_gamme,ASUS::Premium::c3,ASUS,Premium,1,3,4277.71
pc_portables,N2_marque_gamme,ASUS::Premium::c3,ASUS,Premium,2,3,4277.71
pc_portables,N2_marque_gamme,ASUS::Premium::c3,ASUS,Premium,3,3,4277.71
pc_portables,N2_marque_gamme,ASUS::Premium::c3,ASUS,Premium,4,3,4277.71
pc_portables,N2_marque_gamme,ASUS::Premium::c4,ASUS,Premium,1,9,4854.03
pc_portables,N2_marque_gamme,ASUS::Premium::c4,ASUS,Premium,2,9,4854.03
pc_portables,N2_marque_gamme,ASUS::Premium::c4,ASUS,Premium,3,8,5013.32
pc_portables,N2_marque_gamme,ASUS::Premium::c4,ASUS,Premium,4,8,5013.32
pc_portables,N2_marque_gamme,ASUS::Premium::c5,ASUS,Premium,2,3,3870.07
pc_portables,N2_marque_gamme,ASUS::Premium::c5,ASUS,Premium,3,5,3904.6
pc_portables,N2_marque_gamme,ASUS::Premium::c5,ASUS,Premium,4,4,3876.51
pc_portables,N2_marque_gamme,ASUS::Premium::c6,ASUS,Premium,1,7,5075.64
pc_portables,N2_marque_gamme,ASUS::Premium::c6,ASUS,Premium,2,7,5075.64
pc_portables,N2_marque_gamme,ASUS::Premium::c6,ASUS,Premium,3,7,5056.47
pc_portables,N2_marque_gamme,ASUS::Premium::c6,ASUS,Premium,4,7,5053.12
pc_portables,N2_marque_gamme,ASUS::Premium::c7,ASUS,Premium,1,2,3993.92
pc_portables,N2_marque_gamme,ASUS::Premium::c7,ASUS,Premium,2,2,3993.92
pc_portables,N2_marque_gamme,ASUS::Premium::c7,ASUS,Premium,3,2,3993.92
pc_portables,N2_marque_gamme,ASUS::Premium::c7,ASUS,Premium,4,2,3993.92
pc_portables,N2_marque_gamme,ASUS::Économique::c0,ASUS,Économique,1,5,1678.04
pc_portables,N2_marque_gamme,ASUS::Économique::c0,ASUS,Économique,2,5,1678.04
pc_portables,N2_marque_gamme,ASUS::Économique::c0,ASUS,Économique,3,5,1678.04
pc_portables,N2_marque_gamme,ASUS::Économique::c0,ASUS,Économique,4,5,1678.04
pc_portables,N2_marque_gamme,ASUS::Économique::c1,ASUS,Économique,1,13,2080.75
pc_portables,N2_marque_gamme,ASUS::Économique::c1,ASUS,Économique,2,11,2110.39
pc_portables,N2_marque_gamme,ASUS::Économique::c1,ASUS,Économique,3,11,2110.39
pc_portables,N2_marque_gamme,ASUS::Économique::c1,ASUS,Économique,4,11,2110.39
pc_portables,N2_marque_gamme,ASUS::Économique::c2,ASUS,Économique,1,15,1792.6
pc_portables,N2_marque_gamme,ASUS::Économique::c2,ASUS,Économique,2,14,1790.73
pc_portables,N2_marque_gamme,ASUS::Économique::c2,ASUS,Économique,3,13,1782.66
pc_portables,N2_marque_gamme,ASUS::Économique::c2,ASUS,Économique,4,13,1782.66
pc_portables,N2_marque_gamme,ASUS::Économique::c3,ASUS,Économique,1,5,2034.66
pc_portables,N2_marque_gamme,ASUS::Économique::c3,ASUS,Économique,2,5,2034.66
pc_portables,N2_marque_gamme,ASUS::Économique::c3,ASUS,Économique,3,5,2034.66
pc_portables,N2_marque_gamme,ASUS::Économique::c3,ASUS,Économique,4,5,2034.66
pc_portables,N2_marque_gamme,ASUS::Économique::c4,ASUS,Économique,1,5,2208.6
pc_portables,N2_marque_gamme,ASUS::Économique::c4,ASUS,Économique,2,5,2208.6
pc_portables,N2_marque_gamme,ASUS::Économique::c4,ASUS,Économique,3,5,2208.6
pc_portables,N2_marque_gamme,ASUS::Économique::c4,ASUS,Économique,4,5,2208.6
pc_portables,N2_marque_gamme,ASUS::Économique::c5,ASUS,Économique,1,2,2199.0
pc_portables,N2_marque_gamme,ASUS::Économique::c5,ASUS,Économique,2,2,2199.0
pc_portables,N2_marque_gamme,ASUS::Économique::c5,ASUS,Économique,3,2,2199.0
pc_portables,N2_marque_gamme,ASUS::Économique::c5,ASUS,Économique,4,2,2199.0
pc_portables,N2_marque_gamme,ASUS::Économique::c6,ASUS,Économique,1,4,2010.74
pc_portables,N2_marque_gamme,ASUS::Économique::c6,ASUS,Économique,2,4,2010.74
pc_portables,N2_marque_gamme,ASUS::Économique::c6,ASUS,Économique,3,3,1969.72
pc_portables,N2_marque_gamme,ASUS::Économique::c6,ASUS,Économique,4,3,1969.72
pc_portables,N2_marque_gamme,BMAX::Gamme unique::c0,BMAX,Gamme unique,1,2,1157.45
pc_portables,N2_marque_gamme,BMAX::Gamme unique::c0,BMAX,Gamme unique,2,2,1157.45
pc_portables,N2_marque_gamme,BMAX::Gamme unique::c0,BMAX,Gamme unique,3,2,1157.45
pc_portables,N2_marque_gamme,BMAX::Gamme unique::c0,BMAX,Gamme unique,4,3,1161.28
pc_portables,N2_marque_gamme,CHUWI::Milieu de gamme::c0,CHUWI,Milieu de gamme,1,2,1645.97
pc_portables,N2_marque_gamme,CHUWI::Milieu de gamme::c0,CHUWI,Milieu de gamme,2,2,1645.97
pc_portables,N2_marque_gamme,CHUWI::Milieu de gamme::c0,CHUWI,Milieu de gamme,3,2,1645.97
pc_portables,N2_marque_gamme,CHUWI::Milieu de gamme::c0,CHUWI,Milieu de gamme,4,2,1645.97
