url,prix_tnd,nom,marque,ram_go,stockage_go,taille_ecran,cpu_brand,cpu_serie,os_platform,semaine,cluster_direct,gamme_prix,cluster_id
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i7-13e-gen-24g-512g-ssd-silver.html,2559.0,PC Portable ASUS Vivobook 15 X1502VA i7 13è Gén 24G 512G SSD - Silver,ASUS,24.0,512.0,15.6,Intel,7.0,Windows 11 Famille,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i7-13e-gen-24g-512g-ssd-bleu.html,2559.0,PC Portable ASUS Vivobook 15 X1502VA i7 13è Gén 24G 512G SSD - Bleu,ASUS,24.0,512.0,15.6,Intel,7.0,Windows 11 Famille,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i9-13e-gen-16go-512go-ssd-bleu.html,2599.0,PC Portable ASUS Vivobook 15 X1502VA i9 13è Gén 16Go 512Go SSD - Bleu,ASUS,16.0,512.0,15.6,Intel,9.0,Windows 11 Famille,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i9-13e-gen-16g-512go-ssd-silver.html,2599.0,PC Portable ASUS Vivobook 15 X1502VA i9 13è Gén 16G 512Go SSD - Silver,ASUS,16.0,512.0,15.6,Intel,9.0,Windows 11 Famille,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1504va-intel-core-7-150u-16go-512go-ssd-silver.html,2599.0,PC Portable ASUS Vivobook 15 X1504VA Intel Core 7 150U 16Go 512Go SSD - Silver,ASUS,16.0,512.0,15.6,Intel,7.0,Windows 11 Famille,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-gamer-asus-vivobook-16x-i5-13e-gen-16g-rtx3050.html,2599.0,PC Portable Gamer ASUS Vivobook 16X i5 13è Gén 16G RTX3050,ASUS,16.0,512.0,16.0,Intel,5.0,Windows 11 Pro,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-gamer-asus-vivobook-16x-i5-13e-gen-16g-rtx-3050.html,2599.0,PC Portable Gamer ASUS Vivobook 16X i5 13è Gén 16G RTX 3050,ASUS,16.0,512.0,16.0,Intel,5.0,Windows 11 Pro,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-asus-vivobook-15-oled-x1505va-i5-13e-gen-24g-512g-ssd-silver.html,2609.0,PC Portable ASUS Vivobook 15 OLED X1505VA i5 13è Gén 24G 512G SSD - Silver,ASUS,24.0,512.0,15.6,Intel,5.0,Windows 11 Famille,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-8go-rtx-3050.html,2739.0,PC Portable Gamer ASUS V16 V3607VJ Intel Core 5 210H 8Go RTX 3050,ASUS,8.0,512.0,16.0,Intel,5.0,FreeDos,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-8g-rtx-3050.html,2739.0,PC Portable Gamer ASUS V16 V3607VJ Intel Core 5 210H 8G RTX 3050,ASUS,8.0,512.0,16.0,Intel,5.0,Windows 11 Pro,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-gamer-asus-vivobook-16x-i5-13e-gen-24go-rtx3050.html,2749.0,PC Portable Gamer ASUS Vivobook 16X i5 13è Gén 24Go RTX3050,ASUS,24.0,512.0,16.0,Intel,5.0,Windows 11 Famille,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-gamer-asus-vivobook-16x-i5-13e-gen-24go-rtx-3050.html,2749.0,PC Portable Gamer ASUS Vivobook 16X i5 13è Gén 24Go RTX 3050,ASUS,24.0,512.0,16.0,Intel,5.0,Windows 11 Famille,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-gamer-asus-vivobook-16x-i5-13e-gen-24g-rtx3050.html,2799.0,PC Portable Gamer ASUS Vivobook 16X i5 13è Gén 24G RTX3050,ASUS,24.0,512.0,16.0,Intel,5.0,Windows 11 Pro,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-gamer-asus-vivobook-16x-i5-13e-gen-24g-rtx-3050.html,2799.0,PC Portable Gamer ASUS Vivobook 16X i5 13è Gén 24G RTX 3050,ASUS,24.0,512.0,16.0,Intel,5.0,Windows 11 Pro,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-gamer-asus-v16-v3607vj-intel-core-7-240h-8go-rtx-3050.html,2829.0,PC Portable Gamer ASUS V16 V3607VJ Intel Core 7 240H 8Go RTX 3050,ASUS,8.0,512.0,16.0,Intel,7.0,FreeDos,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-gamer-asus-v16-v3607vj-intel-core-7-240h-8g-rtx-3050.html,2829.0,PC Portable Gamer ASUS V16 V3607VJ Intel Core 7 240H 8G RTX 3050,ASUS,8.0,512.0,16.0,Intel,7.0,Windows 11 Pro,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-asus-expertbook-p5-ultra-5-226v-16go-512go-ssd-gris.html,2969.0,PC Portable ASUS ExpertBook P5 Ultra 5 226V 16Go 512Go SSD - Gris,ASUS,16.0,512.0,14.0,Intel,0.0,FreeDos,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i9-13e-gen-24go-512go-ssd-bleu.html,2999.0,PC Portable ASUS Vivobook 15 X1502VA i9 13è Gén 24Go 512Go SSD - Bleu,ASUS,24.0,512.0,15.6,Intel,9.0,Windows 11 Famille,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i9-13e-gen-24g-512go-ssd-silver.html,2999.0,PC Portable ASUS Vivobook 15 X1502VA i9 13è Gén 24G 512Go SSD - Silver,ASUS,24.0,512.0,15.6,Intel,9.0,Windows 11 Famille,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-asus-vivobook-16-x1605va-intel-core-9-270h-16go-512go-ssd-noir.html,3059.0,PC Portable ASUS Vivobook 16 X1605VA Intel Core 9 270H 16Go 512Go SSD - Noir,ASUS,16.0,512.0,16.0,Intel,9.0,Windows 11 Famille,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-gamer-asus-tuf-gaming-a15-amd-ryzen-7-8g-rtx-3050.html,3069.0,PC Portable Gamer ASUS TUF Gaming A15 AMD RYZEN 7 8G RTX 3050,ASUS,8.0,512.0,15.6,AMD,0.0,Windows 11 Famille,1,1,Milieu de gamme,ASUS::Milieu de gamme::c1
https://www.mytek.tn/pc-portable-gamer-asus-v16-v3607vu-intel-core-5-210h-8g-rtx4050.html,3099.0,PC Portable Gamer ASUS V16 V3607VU Intel Core 5 210H 8G RTX4050,ASUS,8.0,512.0,16.0,Intel,5.0,Windows 11 Pro,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-16go-rtx-3050.html,3139.0,PC Portable Gamer ASUS V16 V3607VJ Intel Core 5 210H 16Go RTX 3050,ASUS,16.0,512.0,16.0,Intel,5.0,FreeDos,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-16g-rtx-3050.html,3139.0,PC Portable Gamer ASUS V16 V3607VJ Intel Core 5 210H 16G RTX 3050,ASUS,16.0,512.0,16.0,Intel,5.0,Windows 11 Pro,1,0,Milieu de gamme,ASUS::Milieu de gamme::c0
https://www.mytek.tn/pc-portable-gamer-asus-tuf-gaming-a15-amd-ryzen-7-16g-rtx3050.html,3179.0,PC Portable Gamer ASUS TUF Gaming A15 AMD RYZEN 7 16G RTX3050,ASUS,16.0,512.0,15.6,AMD,0.0,Windows 11 Famille,1,1,Milieu de gamme,ASUS::Milieu de gamme::c1
https://www.mytek.tn/pc-portable-asus-vivobook-s16-amd-ryzen-9-16go-512go-ssd-silver.html,3199.0,PC Portable ASUS Vivobook S16 AMD RYZEN 9 16Go 512Go SSD - Silver,ASUS,16.0,512.0,16.0,AMD,0.0,Windows 11 Famille,1,1,Milieu de gamme,ASUS::Milieu de gamme::c1
