cle_produit,categorie,marque,gamme,cluster_segmentation
https://www.mytek.tn/smartphone-infinix-smart-20-4go-64go-polaris-titanium.html,smartphones,INFINIX,Économique,profil_descriptif
https://www.mytek.tn/smartphone-infinix-smart-20-4go-64go-cloudine-blue.html,smartphones,INFINIX,Économique,profil_descriptif
https://www.mytek.tn/smartphone-infinix-smart-20-4go-128go-polaris-titanium.html,smartphones,INFINIX,Économique,profil_descriptif
https://www.mytek.tn/smartphone-infinix-smart-20-4go-128go-cloudine-blue.html,smartphones,INFINIX,Économique,profil_descriptif
https://www.mytek.tn/smartphone-infinix-smart-20-4go-128go-sunlike-orange.html,smartphones,INFINIX,Économique,profil_descriptif
https://www.mytek.tn/smartphone-infinix-smart-20-4go-128go-shadow-black.html,smartphones,INFINIX,Économique,profil_descriptif
https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-sleek-black.html,smartphones,INFINIX,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-titanium-silver.html,smartphones,INFINIX,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-misty-violet.html,smartphones,INFINIX,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-coral-tides.html,smartphones,INFINIX,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-infinix-hot-60-pro-plus-4g-8-8go-256go-sonic-yellow.html,smartphones,INFINIX,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-infinix-note-40-5g-pro-24go-256go-edition-racing-gris.html,smartphones,INFINIX,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-infinix-note-60-edge-5g-16go-256go-lunar-titanium.html,smartphones,INFINIX,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-infinix-note-60-edge-5g-16go-256go-silk-green.html,smartphones,INFINIX,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-infinix-note-60-edge-5g-16go-256go-shadow-black.html,smartphones,INFINIX,Milieu de gamme,profil_descriptif
https://www.mytek.tn/smartphone-infinix-note-60-pro-5g-12go-256go-orange.html,smartphones,INFINIX,Premium,profil_descriptif
https://www.mytek.tn/smartphone-infinix-note-60-pro-5g-12go-256go-deep-ocean-blue.html,smartphones,INFINIX,Premium,profil_descriptif
https://www.mytek.tn/smartphone-infinix-note-60-pro-5g-12go-256go-titanium.html,smartphones,INFINIX,Premium,profil_descriptif
